ID,2_Boca_Rio_8_28_20,12_Boca_Rio_4_14_21,6_Boca_Rio_12_30_20,10_Boca_Rio_3_14_21,14_Boca_Rio_5_5_21,8_Boca_Rio_1_27_21,5_Radio_Club_12_30_20,1_Radio_Club_8_28_20,7_Radio_Club_1_27_21,4_Boca_Rio_11_10_20,9_Radio_Club_3_14_21,3_Radio_Club_11_10_20,13_Radio_Club_5_5_21
Candidatus Aenigmarchaeota archaeon CG01_land_8_20_14_3_00_37_9,1,0,0,0,4,0,0,0,0,2,0,0,0
Candidatus Aenigmarchaeota archaeon CG15_BIG_FIL_POST_REV_8_21_14_020_37_27,0,0,0,0,3,0,0,0,0,0,0,0,0
Candidatus Aenigmarchaeota archaeon ex4484_14,3,1,1,3,0,0,0,0,0,0,0,0,3
Candidatus Aenigmarchaeota archaeon ex4484_224,1,0,1,0,0,3,1,1,0,2,0,0,0
Candidatus Aenigmarchaeota archaeon ex4484_52,8,2,6,10,2,8,6,0,6,8,4,3,0
Candidatus Aenigmarchaeota archaeon ex4484_56,6,0,9,0,7,0,0,2,1,3,0,0,1
Candidatus Aenigmarchaeota archaeon,169,130,113,112,213,107,56,56,39,568,42,28,18
Candidatus Altiarchaeum sp. CG03_land_8_20_14_0_80_32_618,0,0,0,0,0,0,0,2,0,1,0,0,0
Candidatus Altiarchaeum sp. CG12_big_fil_rev_8_21_14_0_65_33_22,1,1,0,1,0,0,0,0,0,2,0,0,0
Candidatus Altiarchaeum sp. CG2_30_32_3053,0,0,0,1,0,0,0,0,0,0,0,0,0
Candidatus Altiarchaeales archaeon A3,6,2,10,13,16,10,8,0,5,12,3,2,0
Candidatus Altiarchaeales archaeon HGW-Altiarchaeales-1,4,1,3,3,7,6,3,2,1,3,4,0,2
Candidatus Altiarchaeales archaeon HGW-Altiarchaeales-2,1,7,3,2,0,2,1,0,0,0,0,1,0
Candidatus Altiarchaeales archaeon HGW-Altiarchaeales-3,1,0,0,1,2,9,2,0,0,2,0,1,1
