Sample,Site,Number
SRR1514963,Freshwater,1
SRR1515032,Freshwater,2
SRR1518285,Freshwater,3
SRR1522964,Freshwater,4
SRR1522971,Freshwater,5
SRR1522973,Freshwater,6
SRR1522974,Freshwater,7
ERR866563,Gut,8
ERR866564,Gut,9
ERR866565,Gut,10
ERR866566,Gut,11
ERR866568,Gut,12
ERR866569,Gut,13
ERR866571,Gut,14
ERR866572,Gut,15
ERR866576,Gut,16
ERR866580,Gut,17
ERR866583,Gut,18
ERR866590,Gut,19
ERR866608,Gut,20
SRR17408621,Wastewater,21
SRR17408622,Wastewater,22
SRR17408623,Wastewater,23
SRR17408624,Wastewater,24
SRR17408625,Wastewater,25
SRR17408626,Wastewater,26
SRR17408627,Wastewater,27
SRR17408628,Wastewater,28
SRR17408629,Wastewater,29
SRR17408630,Wastewater,30
SRR17408631,Wastewater,31
SRR17408632,Wastewater,32
SRR17408633,Wastewater,33
